candidate_id,rank,score,reasoning,confidence
CAND_0010257,1,0.7853,"Senior Data Scientist, 6.5y. Score=0.785 Conf=57% Evidence: ""Built a content recommendation syst""@Google [Frontier]; ""Trained and shipped multiple rankin""@PharmEasy Strong: ranking_system, learning",0.57
CAND_0071974,2,0.7727,"Senior AI Engineer, 7.8y. Score=0.773 Conf=59% Evidence: ""Owned the end-to-end ranking pipeli""@Netflix [Elite]; ""Owned the end-to-end ranking pipeli""@Netflix [Elite] Strong: ranking_system, learnin",0.59
CAND_0046064,3,0.76,"Senior NLP Engineer, 8.9y. Score=0.760 Conf=60% Evidence: ""Owned the end-to-end ranking pipeli""@Amazon [Elite]; ""Owned the end-to-end ranking pipeli""@Amazon [Elite] Strong: ranking_system, learning",0.6
CAND_0002025,4,0.7502,"Senior AI Engineer, 5.9y. Score=0.750 Conf=52% Evidence: ""Built and shipped a production reco""@Apple [Frontier]; ""Built and shipped a production reco""@Apple [Frontier] Strong: ranking_system, learn",0.52
CAND_0028793,5,0.7501,"Search Engineer, 7.2y. Score=0.750 Conf=60% Evidence: ""Developed a semantic search feature""@Google [Frontier]; ""Developed a semantic search feature""@Google [Frontier] Strong: ranking_system, learni",0.6
CAND_0030031,6,0.7476,"AI Engineer, 5.7y. Score=0.748 Conf=57% Evidence: ""Trained and shipped multiple rankin""@Google [Frontier]; ""Trained and shipped multiple rankin""@Google [Frontier] Strong: ranking_system, learning_t",0.57
CAND_0066999,7,0.7414,"Recommendation Systems Engineer, 5.9y. Score=0.741 Conf=60% Evidence: ""Owned the ranking layer for an e-co""@Microsoft [Elite]; ""Owned the ranking layer for an e-co""@Microsoft [Elite] Strong: rankin",0.6
CAND_0062247,8,0.7412,"AI Engineer, 7.3y. Score=0.741 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Dream11; ""Owned the ranking layer for an e-co""@Dream11 Strong: ranking_system, learning_to_rank Recency:+0.10",0.61
CAND_0018549,9,0.7391,"Recommendation Systems Engineer, 6.8y. Score=0.739 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Uber [Top]; ""Owned the ranking layer for an e-co""@Uber [Top] Strong: ranking_system, lear",0.58
CAND_0018499,10,0.7365,"Senior Machine Learning Engineer, 7.2y. Score=0.737 Conf=58% Evidence: ""Fine-tuned LLaMA-2-7B and Mistral-7""@Flipkart [Top]; ""Built a RAG-based ranking pipeline""@Zomato [Top] Strong: ranking_system",0.58
CAND_0093912,11,0.7362,"Senior Data Scientist, 5.3y. Score=0.736 Conf=62% Evidence: ""Owned the ranking layer for an e-co""@Razorpay [Top]; ""Owned the ranking layer for an e-co""@Razorpay [Top] Strong: ranking_system, learni",0.62
CAND_0008425,12,0.7351,"Senior NLP Engineer, 7.8y. Score=0.735 Conf=58% Evidence: ""Fine-tuned LLaMA-2-7B and Mistral-7""@Zomato [Top]; ""Owned the end-to-end ranking pipeli""@Amazon [Elite] Strong: ranking_system, learning_t",0.58
CAND_0079284,13,0.7223,"Machine Learning Engineer, 4.9y. Score=0.722 Conf=57% Evidence: ""Trained and shipped multiple rankin""@Google [Frontier]; ""Trained and shipped multiple rankin""@Google [Frontier] Strong: ranking_syst",0.57
CAND_0091909,14,0.7195,"Machine Learning Engineer, 6.9y. Score=0.720 Conf=57% Evidence: ""Built a content recommendation syst""@Rephrase.ai; ""Trained and shipped multiple rankin""@Meta [Frontier] Strong: ranking_system, lear",0.57
CAND_0047721,15,0.7149,"Senior Data Scientist, 7.0y. Score=0.715 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Observe.AI; ""Owned the ranking layer for an e-co""@Observe.AI Strong: ranking_system, learning_to_ra",0.58
